title,uri,text,html
"Class of 2022 Success Post Pandemic Obstacles",https://carlsonschool.umn.edu/news/class-2022-finds-success-despite-pandemic-obstacles,,"<p style=""font-size:2.8rem;""><em>Accounting</em></p>"
"Class of 2022 Success Post Pandemic Obstacles",https://carlsonschool.umn.edu/news/class-2022-finds-success-despite-pandemic-obstacles,,"<p style=""font-size:2.8rem;""><em>Management Information Systems</em></p>"
"Executive MBA Events | Carlson School",https://carlsonschool.umn.edu/graduate/mba/executive/events?page=5,,"<p style=""font-family:'Open Sans', sans-serif;font-size:2em;"">Get a glimpse into a Carlson School EMBA class</p>"
"Fall 2019 Three People, Three Questions",https://carlsonschool.umn.edu/news/3-people-3-questions-fall2019,,"<p style=""font-size:2.8rem;"">'12 BSB, Co-founder, WOODCHUCK USA</p>"
"Fall 2019 Three People, Three Questions",https://carlsonschool.umn.edu/news/3-people-3-questions-fall2019,,"<p style=""font-size:2.8rem;"">'19 MBA, Senior Director, Cargill</p>"
"Fall 2019 Three People, Three Questions",https://carlsonschool.umn.edu/news/3-people-3-questions-fall2019,,"<p style=""font-size:2.8rem;"">Assistant Professor, Accounting</p>"
"Master of Accountancy Early Admission | Carlson School",https://carlsonschool.umn.edu/graduate/masters/accountancy/admissions/early-admission,,"<p style=""font-family:'Open Sans', sans-serif;font-size:2em;"">July 1, 2025</p>"
"Faculty in 5: Michael Iselin | Carlson School of Management",https://carlsonschool.umn.edu/news/faculty-in-5-michael-iselin,,"<p style=""font-size:2.8rem;"">Q: What is your favorite class to teach?</p>"
"New Guiding Principles Help Undergraduates and Staff Transform",https://carlsonschool.umn.edu/news/guiding-principles-help-undergraduates-transform-values-into-action,,"<p style=""font-family:'Open Sans', sans-serif;font-size:2em;""><em>Our teamwork and inclusivity increase our impact&nbsp;</em></p>"
"Faculty in 5: Alfred Marcus | Carlson School of Management",https://carlsonschool.umn.edu/news/faculty-in-5-alfred-marcus,,"<p style=""font-size:2.8rem;"">Q: What is your favorite class to teach?</p>"
"MS Business Analytics Experiential Learning | Carlson School",https://carlsonschool.umn.edu/graduate/masters/business-analytics/curriculum/experiential-learning,,"<p class=""text-align-center"" style=""font-family:'Open Sans', sans-serif;font-size:2em;"">Need talent for an analytics project?</p>"
"Competition Divisions | Carlson School of Management",https://carlsonschool.umn.edu/mn-cup/current-season/divisions,,"<p style=""font-family:'Open Sans', sans-serif;font-size:2em;"">MN Cup is Organized by Divisions.&nbsp;</p>"
